Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,MinSalary,MaxSalary,AvgSalary,Python,SQL,Power BI,Tableau,Remote,Work_Mode,Remote_Label
"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),"are you eager to roll up your sleeves and harness data to drive policy change? do you enjoy sifting through complex datasets to illuminate trends and insights? do you see yourself working for a values-driven organization with a vision to tackle the most pressing injustices of our day?

we are looking to hire a bright, hard-working, and creative individual with strong data management skills and a demonstrated commitment to immigrant's rights. the data analyst will assist with analysis and reporting needs for veras center on immigration and justice (cij), working across its current projects and future vera initiatives.

who we are:

founded in 1961, the vera institute is an independent, non-partisan, nonprofit organization that combines expertise in research, technical assistance, and demonstration projects to assist leaders in government and civil society examine justice policy and practice, and improve the systems people rely on for justice and safety.
we study problems that impede human dignity and justice.
we pilot solutions that are at once transformative and achievable.
we engage diverse communities in informed debate.
and we harness the power of evidence to drive effective policy and practice
what were doing:

we are helping to build a movementamong government leaders, advocates, and the immigration legal services communitytowards universal legal representation for immigrants facing deportation. in the face of stepped-up immigration enforcement, millions of non-citizens are at risk of extended detention and permanent separation from their families and communities. veras center on immigration and justice (cij) partners with government, non-profit partners, and communities to improve government systems that affect immigrants and their families. cij administers several nationwide legal services programs for immigrants facing deportation, develops and implements pilot programs, provides technical assistance, and conducts independent research and evaluation.

thats where you come in:
the data analyst will support the centers programmatic efforts through regular monitoring and reporting of federal government and subcontractor data. cij manages several proprietary databases that run on aws and caspio and uses sql, r, and python to manage data. this is an opportunity to help shape an innovative national research and policy agenda as part of a dedicated team of experts working to improve access to justice for non-citizens.

vera seeks to hire a data analyst to work on various data management projects with its center on immigration and justice (cij). in collaboration with other data analysts, this position will involve work across several projects, such as the unaccompanied childrens program (ucp), a program to increase legal representation for immigrant children facing deportation without a parent or legal guardian. the position may cover additional duties for the legal orientation program for custodians (lopc), which educates the custodians of unaccompanied children about their rights and the immigration court process.

about the role:

as a data analyst, you will report to a member of the research team and work in close collaboration with other vera staff on ongoing database management, monitoring, reporting, and analysis projects. youll support the team by taking ownership of ongoing monitoring and reporting tasks involving large data sets. other principal responsibilities will include:
supporting research staff by preparing large datasets for analysis, including merging, cleaning, and recoding data;
providing insights into program performance through summary statistics and performance indicators;
producing timely reports on vera projects for team members and stakeholders;
improving recurring reporting processes by optimizing code and producing subsequent documentation;
coordinating database management tasks such as participating in new database design, modifying existing databases, and communicating with outside engineers and subcontractors;
developing codebooks and delivering user trainings through webinars and database guides;
building and maintaining interactive dashboards;
documenting and correcting data quality issues;
working with supervisors to prioritize program needs;
assisting on other projects and tasks as assigned.
about you:

youre committed to improving issues affecting immigrants in the united states. applicants with personal experiences with the immigration system are especially encouraged to apply.

youre just getting started in your career and have 1 2 years of professional or internship experience working with large datasets and preparing data for analysis.

you have a real enthusiasm for working with data.

you are comfortable writing queries in sql, r, and/or python, or have a solid foundation coding in other programming languages used to manipulate data. experience working collaboratively using tools like git/github is a plus.

you have exceptional attention to detail, strong problem-solving ability and logical reasoning skills, and the ability to detect anomalies in data.

youre able to work on multiple projects effectively and efficiently, both independently and collaboratively with a team.

this position involves working with secure data that may require government security clearance. that clearance is restricted to u.s. citizens and citizens of countries that are party to collective defense agreements with the u.s. the list of those countries is detailed on this webpage. an additional requirement of that clearance is residence in the united states for at least three of the last five years.

how to apply:

please submit cover letter and resume. applications will be considered on a rolling basis until position is filled. online submission in pdf format is preferred. applications with no cover letter attached will not be considered. the cover letter should address your interest in cij and this position.

however, if necessary, materials may be mailed or faxed to

attn: human resources / cij data analyst recruitment

vera institute of justice

34 35th st, suite 4-2a

brooklyn, ny 11232

fax: (212) 941-9407

please use only one method (online, mail or fax) of submission.

no phone calls, please. only applicants selected for interviews will be contacted.

vera is an equal opportunity/affirmative action employer. all qualified applicants will be considered for employment without unlawful discrimination based on race, color, creed, national origin, sex, age, disability, marital status, sexual orientation, military status, prior record of arrest or conviction, citizenship status, current employment status, or caregiver status.

vera works to advance justice, particularly racial justice, in an increasingly multicultural country and globally connected world. we value diverse experiences, including with regard to educational background and justice system contact, and depend on a diverse staff to carry out our mission.

for more information about vera and cijs work, please visit www.vera.org.

powered by jazzhr",3.2,"Vera Institute of Justice
3.2","New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,True,37.0,66.0,51.5,1,1,0,0,0,Unspecified,Non-Remote
Quality Data Analyst,$37K-$66K (Glassdoor est.),"overview

provides analytical and technical support for the integration of multiple data sources used to prepare internal and external reporting for the quality management team and business stakeholders. provides support and analytical insight for quality incentive measures, hedis measures, and quality improvement initiatives. monitors, analyzes, and communicates quality performance related to benchmarks. collaborates with clinical and operational teams within quality management, as well as with choice clinical operations and business intelligence & analytics (bia). participates in data validation of current reporting and dashboards. monitors data integrity of databases and provides recommendation accordingly. participates in the development of internal dashboards and databases. works under general direction.

responsibilities
provides support and analytical insight for quality incentive measures, hedis measures, and quality improvement initiatives.
monitors internal performance against benchmarks through analysis.
participates in the identification, development, management, and monitoring of quality improvement initiatives.
collaborates with education staff and makes recommendations for areas of focus in training of assessors and care managers, based on analysis of performance trends.
researches and identifies technical/operational problems surrounding systems/applications; communicates/refers complex and unresolved problems to management, business intelligence & analytics (bia), and/or it.
conducts ad hoc analyses to help identify operational gaps in care; drafts presentations, reports, publications, etc. regarding results of analyses.
communicates results of data analysis to non-technical audiences.
participates in prioritization of departmental goals based on identification of operational gaps in care.
participates in establishing data quality specifications and designs. coordinates and supports integrated data systems for analyzing and validating information.
identifies and makes recommendations for reporting re-designs and platforms for reporting (e.g. automating a manual excel file using macros, developing a microstrategy dashboard to replace manually updated excel dashboards, moving data storage from excel to access, etc.), as needed. trains staff on use of new/updated systems and related topics.
assists quality management team with database and department reports. conducts operations review and analysis of processes and procedures, issues report of findings and implements approved changes as required.
identifies and recommends software needs and applications to accomplish required reporting.
retrieves, compiles, reviews and ensures accuracy of data from databases; researches and corrects discrepancies, as needed. analyzes data from internal and external sources. identifies and resolves data quality issues before reports are generated. works with staff to correct data entry errors.
analyzes data, identifies trends, reoccurring problems, statistically significant findings and prepares reports/summaries for management review.
acts as a liaison between quality management, choice clinical operations, and bia.
reviews and identifies trends and variances in data and reports. researches findings and determines appropriateness of elevating identified issues to leadership for further review/evaluation/action.
monitors and maintains files by ensuring that files are current and of relevant nature.
analyzes and corrects error reports to ensure timely and accurate data; develops corrective actions to prevent errors where possible.
participates in special projects and performs other duties, as needed.
qualifications
education: bachelors degree in bio/statistics, epidemiology, mathematics, computer science, social sciences, a related field or the equivalent work experience required. masters degree with concentration in computer science, data science, or statistics preferred.


experience: minimum of two years experience performing increasingly complex data analysis and interpretation, preferably in a managed care or health care setting, required. experience with data extraction and manipulation required. experience with relational databases and programming experience in sql or pl/sql required. experience with claims data and health plan quality metrics (e.g., hedis, qarr) preferred. proficiency conducting statistical analysis with r, sas, stata or other statistical software preferred. advanced personal computer skills, including microsoft word, powerpoint, excel, and access required. effective oral, written communication and interpersonal skills required. ability to multi task in a fast-paced environment required.

ca2020",3.8,"Visiting Nurse Service of New York
3.8","New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,37.0,66.0,51.5,0,1,0,0,0,Unspecified,Non-Remote
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),"we’re looking for a senior data analyst who has a love of mentorship, data visualization, and generating actionable insights from raw data. in this role, you’ll have the opportunity to be an organizational influencer, who will generate insights with a good degree of autonomy, and partner with data science to grow deeper analytical skills. you will be joining the insights & analytics team, a team tasked with developing insights and reporting to support our customers and advisors’ needs. this team sits within the customer operations team, but is also connected to the product organization.

in this role, you will work mainly with customer operations stakeholders to set kpis and evaluate the effectiveness of current strategies and workflows. you will be involved in many aspects of data operations, from data auditing to building dashboards and analytical insights. for example, you will review the code of more junior analysts and organize coding workshops. you will build metrics to evaluate the performance of our advisors, eliminating confounding variables and creating weighted measures that account for individual success. you will define metrics and create dashboards to track the success of the current strategic direction. you will analyze the text-based interactions with our advisors to improve care quality. you will also analyze interactions with our chatbot to improve the responses of the bot to match customer expectations. you will collaborate with the data engineering team in pursuit of better data modeling and you can collaborate with the data science team on more modeling-heavy pursuits, like topic modeling or search recommendations. you will be a mentor to all other members of the analytics team, which demands that you excel in a culture of teaching and learning.

you will report to the manager of the insights & analytics team, customer operations in squarespace’s new york offices.

responsibilities
design and develop kpis, reports, and dashboards using bi/data visualization tools that clearly track the effectiveness of current strategies
execute and communicate impactful analyses, using sql and r/python to improve the customer experience and drive customer operations and product roadmap
raise the skill level of the analytics team through reviewing code, organizing training sessions, acting as a mentor, and introducing new analytical methods and tools
help design and evaluate experiments and pilots, setting clear hypotheses and success metrics, as well as using the right statistical methods for analyses
effectively partner with customer operations and product stakeholders, as well as our data engineering team
qualifications
4 or more years of experience as a data analyst, data scientist, or in a relevant field in which you have worked with large datasets to transform data to meaningful insights
mastery of sql, and experience with r/python
experience with dashboarding/bi tools like chartio, looker, tableau
experience with data cleaning, analysis, and presentation to non-technical stakeholders
bachelor’s degree in a quantitative or logic-driven discipline
intellectual curiosity and a deep love of mentorship and generating actionable insights
preferred: advanced degree (master’s or phd) in quantitative field
preferred: experience with topic modeling, text analytics/natural language processing
we are hiring at various experience levels and we’re particularly interested in having a diverse team with a broad set of skills and viewpoints. if this seems like an opportunity you’d like to explore, but you’re not sure if you qualify, we encourage you to apply anyway!

about squarespace

squarespace makes beautiful products to help people with creative ideas succeed. by blending elegant design and sophisticated engineering, we empower millions of people — from individuals and local artists to entrepreneurs shaping the world’s most iconic businesses — to share their stories with the world. squarespace’s team of more than 900 is headquartered in downtown new york city, with offices in dublin and portland. for more information, visit www.squarespace.com/about.

today, more than a million people around the globe use squarespace to share different perspectives and experiences with the world. not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. at squarespace, we are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. we are proud to be an equal opportunity workplace.",3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,37.0,66.0,51.5,1,1,0,1,0,Unspecified,Non-Remote
Data Analyst,$37K-$66K (Glassdoor est.),"requisition numberrr-0001939
remote:yes
we collaborate. we create. we innovate.

intrigued?

you’re a business professional with an innate curiosity that thrives in a dynamic and agile environment. you appreciate teamwork, exemplify integrity, perseverance, flexibility, and a generosity of spirit… if this sounds like you, then please apply – we’d love to meet you!

celerity is expanding and on the hunt for the savvy, creative, and analytically sound individuals that are motivated by solving complex problems. we’re in the business of transforming how people, process, and systems co-exist, while improving operational efficiencies and user-driven interactions. we work with groundbreaking companies, melding expertise in digital strategy, technology, creative, and business transformation.
the health and safety of our employees is our top priority. due to the pandemic, all our employees are working remotely and we will be conducting candidate interviews by video. this position will continue to be remote once the covid-19 crisis has abated.

what you’ll do

• perform data visualization and comparisons across multiple data sources / systems of record to provide value-added insights to support critical business operations teams
• build scripts to perform low-level analysis and data investigation working in conjunction with other celerity or client team members to improve data accuracy and make more informed decisions
• support movement of large amounts of data and existing processes into new ecosystems including looking for opportunities for greater automation of existing processes via sql
• produce customized reports and visualizations as well as other ad-hoc analysis in support of time-sensitive business requests
• demonstrate flexibility to expand beyond a pure data analysis role including upstream requirements gathering or downstream process recommendations/implementations centered around a strong understanding of client data

about you

• bachelor’s degree in business, management, or a quantitative field 3+ years sql development of complex queries
• 2+ years professional experience
• expertise designing and implementing etl processes you have teradata sql experience (preferred)
• experience with data visualization such as tableau or powerbi
• you understand and have experience with multidimensional analysis and queries
• strong communication skills
• you have an analytical mindset to be able to ask probing questions to eradicate ambiguity and are willing to point out flaws in logic and identify better ways to do things
• you have “good data intuition”
• you are not an order taker, but an analyst that can sniff out trends, identify patterns, and answer open ended questions
• willingness to expand scope of work beyond data to include business analyst, process analyst, or project manager type activities as necessary
we are celerity

millions of people every day use websites, applications, and business processes designed and built by celerity. as a consultancy of technologists, creatives, and business experts, we provide the action plans, teams, and solutions our clients need to transform the way they do business and deepen engagement with their customers.

celerity empowers autonomy and accountability. we understand life happens and want our team to do what is needed to get the work done, enjoy it along the way, and have plenty of time and energy for family and friends, vacations, hobbies, learning of languages, you name it! at celerity, our focus is on bringing synergies to business process, technology, and creative chops to deliver inspirational solutions. we love giving kudos and celebrating achievements. we provide an inclusive and flexible environment that fosters collaboration, quick pivots, and quality work.

originally founded in 2002, celerity was acquired in 2015 by ausy, a france-based it consultancy and engineering services firm. with 8 regional offices and 400+ employees, celerity’s clients span a variety of industries including media and entertainment, healthcare, financial services, manufacturing, non-profit, and hospitality.

you can also get to know us better on instagram, facebook, dribbble, linkedin, and twitter.

build your career

at celerity, our professional growth plan focuses on individualizing everyone’s track through incorporating personal interests with training and mentorship, while further expanding existing strong suits. we recognize in this ever-evolving digital world, there is extreme value in learning new skills and technologies. celerity provides opportunities to shape skill sets, work with an amazing team of industry-leading consultants and exciting clients, in addition to professional trainings and certifications that best align with your career goals.
we are proud to be an equal opportunity employer. all employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.
celerity is committed to providing veteran employment opportunities to our service men and women.",4.1,"Celerity
4.1","New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,37.0,66.0,51.5,0,1,0,1,1,Remote,Remote
Reporting Data Analyst,$37K-$66K (Glassdoor est.),"about fanduel group

fanduel group is a world-class team of brands and products all built with one goal in mind — to give fans new and innovative ways to interact with their favorite games, sports, teams, and leagues. that's no easy task, which is why we're so dedicated to building a winning team. and make no mistake, we are here to win, but we believe in winning right. that means we'll never compromise when it comes to looking out for our teammates. from our many opportunities for professional development to our generous insurance and paid leave policies, we're committed to making sure our employees get as much out of fanduel as we ask them to give.

fanduel group is based in new york, with offices in california, new jersey, florida, oregon and scotland. our brands include:
fanduel — a game-changing real-money fantasy sports app
fanduel sportsbook — america's #1 sports betting app
tvg — the best-in-class horse racing tv/media network and betting platform
fanduel racing — a horse racing app built for the average sports fan
fanduel casino & betfair casino — fan-favorite online casino apps
foxbet — a world-class betting platform
pokerstars — the premier online poker product
the position
our roster has an opening with your name on it

we are looking for a reporting data analyst to join our growing analytics team working with all aspects of regulatory and compliance reporting. you will work with engineering, compliance and regulatory stakeholders to ensure that reports produce accurate, timely results.

the game plan
everyone on our team has a part to play
work with internal and external stakeholders to specify requirements for regulatory and compliance reports
use your experience with sql to design and develop reports in a number of databases
collaborate with engineering to develop databases in support of current and future reporting needs
take ownership of the schedule of reports, investigating and remediating any issues related to accuracy or availability
identifying and acting on opportunities to further improve regulatory and compliance reporting
supporting internal stakeholders in compliance, legal and other departments with data analysis
the stats
what we're looking for in our next teammate
highly numerate bachelor's degree
1-2 years' experience working with data, reporting and analysis
strong technical and analytic skills – sql and python are essential, excel is nice to have
experience using automation and visualization tools to deliver information to a range of stakeholders
experience of analyzing and manipulating large data sets across multiple data sources
desire to learn new technical skills and practice continuous personal development
the contract
we treat our team right

competitive compensation is just the beginning. as part of our team, you can expect:
an exciting and fun environment committed to driving real growth
opportunities to build really cool products that fans love
mentorship and professional development resources to help you refine your game
flexible vacation allowance to let you refuel
hall of fame benefit programs and platforms
fanduel group is an equal opportunities employer. diversity and inclusion in fanduel means that we respect and value everyone as individuals. we don't tolerate bias, judgement or harassment. our focus is on developing employees so that they reach their full potential.",3.9,"FanDuel
3.9","New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,True,37.0,66.0,51.5,1,1,0,0,0,Unspecified,Non-Remote
Data Analyst,$37K-$66K (Glassdoor est.),"about cubist
cubist systematic strategies is one of the world’s premier investment firms. the firm deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. the core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources.
job description
we are passionate about data. we collaborate to build elegant, effective, scalable and highly reliable solutions to empower predictive modelling in finance.
cubist’s data services group is looking for a data analyst to join our dedicated team. our group is responsible for the timely delivery of comprehensive and error-free data to some of the most demanding and successful systematic portfolio managers in the world.
this exceptional individual will be a member of a small team of data scientists/analysts who play a vital role in ensuring the smooth day-to-day implementation of a large research infrastructure, and the live production trading of billions of dollars of capital across global capital markets, including equities, futures, options and other financial instruments.
job responsibilities
identifying potential data sources
coordinating with compliance team and legal team on new vendor trial/subscription process
assisting with collecting and maintaining vendor overviews and content offerings
assisting with data questions and requests from investment teams
setting up feed downloads and monitor check-in database
monitoring the automated data collection and cleansing infrastructure
assisting with scheduling meetings and conference calls between data users and experts
assisting data team with interoffice travel arrangements, expenses, etc.
assisting in organizing presentations
managing data trial repository permissions
downloading trial datasets from vendor ftp sites or other delivery mechanism
assisting data team with manual data processing as required
maintaining cubist data wiki contents
desirable candidates
bachelor degree required
basic understanding of sql.
programming skills in python and at least one of c#, c++, or java are a plus
proficient knowledge of microsoft outlook, excel, and word
financial industry experience is preferred but not required
strong organization, communication and interpersonal skills
attention to detail and a love of process
strong oral and written communication skills
ability to exercise sound judgment in assessing and determining how to handle queries, calls and issues
ability to multitask and prioritize assignments",3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,37.0,66.0,51.5,1,1,0,0,0,Unspecified,Non-Remote
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),"two sigma is a different kind of investment manager. since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most difficult economic problems. our work spans markets and industries, from insurance and securities to private investments and new ventures.

we are seeking a business / data analyst to join our financial planning and analysis (fp&a) team. our group supports the firm’s management committee and business leads by producing key metrics highlighting the financial performance of the firm and each of the business units in order to drive critical business decisions. successful candidates will have the opportunity to shape and influence the growth and strategy of the firm through insightful, data-driven analyses.

you will take on the following responsibilities:
manage our financial data platform by partnering with engineering to maintain and design reporting/analytic tools
enhance existing data schema and improve process management
deliver analyses on business unit profitability and resource / cost allocations to support decision making
partner with business leaders to deliver the annual budget, along with quarterly updates, outlining the strategic outlook of the firm
act as the key contact for expense analytics across our various business units and key initiatives
future responsibilities will include:
partnering with business leaders to launch new business initiatives / product development
instituting innovative reporting, analytics, and policy to influence behavior across the firm
incorporating fp&a practices across modeling, engineering and corporate areas (e.g. cost optimization, resource allocations, etc.)
project lead on high exposure initiatives across the firm
you should possess the following qualifications:
1-5 years of relevant work experience (business analytics)
bachelor’s degree in finance/computer science/engineering/mathematics or related field
ability to work with structured data
experience with programming languages (ex. python, sql)
strong analytical and financial modeling skills
attention to detail
strong excel skills
excellent communication and presentation skills
you will enjoy the following benefits:
core benefits: fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
perks: onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
learning: tuition reimbursement, conference and training sponsorship
time off: generous vacation and unlimited sick days, competitive paid caregiver leaves
we are proud to be an equal opportunity workplace. we do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.",4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,37.0,66.0,51.5,1,1,0,0,0,On-Site,Non-Remote
Data Science Analyst,$37K-$66K (Glassdoor est.),"data science analyst

job details
level
experienced
job location
new york (home office) - new york, ny
position type
full time
education level
4 year degree
salary range
undisclosed
travel percentage
none
job shift
undisclosed
job category
information technology
description
greater new york mutual insurance company (""gny"") is an a+ rated, financially stable and growing property casualty insurance company with locations throughout the northeast. we are currently looking for a dynamic and highly motivated data science analyst for our new york office.

the purpose of this job is to assist in developing and maintaining advanced analytics tools by utilizing machine learning and predictive analytics techniques. it results in pricing enhancement, early fraud detection, loss control efficiency, customer experience improvement, better broker selection, and better claims reserving.

responsibilities
score gl and property renewal policies using underwriting score models - monthly
analyze loss control data and narrow down inspection questionnaires from hundreds to top 20-30s - daily
add sold rate and rate adequacy to new business score engine - daily
develop a machine learning-based model for setting individual claims reserving - daily
support requests from other departments (e.g., actuarial, underwriting) - weekly
qualifications
have obtained a bachelor's or master degree from an accredited institution preferably in data science, statistics, applied mathematics or computer science
2 - 4 years of experience in machine learning, predictive analytics, and data mining
3+ years experience with programming (e.g., r, python, sql)",3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",True,37.0,66.0,51.5,1,1,0,0,0,Unspecified,Non-Remote
Data Analyst,$37K-$66K (Glassdoor est.),"the data analyst is an integral member of the global commercial data and analytics team driving commercial insights and opportunities for the world's largest english language newspaper website, dailymail.com. this is a unique opportunity to work in a fast-paced entrepreneurial environment, with wide exposure to ad-tech and big data platforms.

the data analyst will be responsible for maintaining and optimizing the global commercial data systems, identifying methods to maximize commercial performance and providing business insights to internal stakeholders. this individual will have a genuine passion for digital media and data technology.

dailymail.com is a division of uk-based dmgt, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the london stock exchange (lse:dmgt.l).

specific responsibilities
participate in cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.
develop and maintain big data infrastructure, reporting systems and data models that support key business decisions.
develop and maintain data visualization dashboards to allow data access to necessary stakeholders.
evaluate the configuration and performance of commercial practices against key indicators.
continuously monitor yield across platforms and offer innovative recommendations to internal teams to boost performance and generate new revenue.
work cross-functionally with teams including operations, sales, marketing, finance and analytics to provide excellent customer service in support of dailymail.com clients and revenue goals.
desired experience and skills

required:
b.a. or b.s. in a quantitative or technical field (e.g., math, engineering, statistics, computer science).
high proficiency in excel, sql, python
possess quantitative skills with a creative problem-solving mindset.
ability to work collaboratively in a team environment.
strong project management skills and ability to meet deadlines
preferred:
digital media and ad-tech experience is a plus
familiarity with r, scala, spark, airflow
google cloud (storage, bigquery, compute engine, kubernetes engine)
about mailonline


mailonline is one of the world's leading newspaper websites with more than 12 million daily unique visitors spending an average of 145 million minutes consuming its content each day across the globe, of which 77% is from direct traffic. mailonline offers a unique amalgam of fresh, sensational, breaking and reliable news with over 1,600 stories, 800 videos and more than 12,800 photos posted daily. with newsrooms in new york, los angeles, london, and sydney, dailymail.com uses its massive homepage to deliver the exclusive content people need and want to know.

dailymailtv brings the best of dailymail.com, the world's most read english-language newspaper website, to life on television, with an edgy, fast-paced daily show featuring the hottest headlines, trending topics and celebrity breaking news from around the world.

daily mail north america is a division of uk-based dmgt, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the london stock exchange (lse:dmgt.l).",4.0,"DMGT
4.0","New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1,37.0,66.0,51.5,1,1,0,0,0,Unspecified,Non-Remote
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),"about us

riskified is the ai platform powering the ecommerce revolution. we use cutting-edge technology, machine-learning algorithms, and behavioral analytics to identify legitimate customers and keep them moving toward checkout. merchants use riskified to increase revenue, prevent fraud, and eliminate customer friction. riskified has reviewed hundreds of millions of transactions and approved billions of dollars of revenue for merchants across virtually all industries, including a number of fortune 500 companies.

about the role

we are looking for a data analyst to work directly with our customers on our merchant health team. you will be part of a growing operations team which is responsible for riskified's customers' performance, quick problem-solving, and online fraud prevention in real time. you will take a major part in research and investigation of new online-fraud trends, in a super-dynamic environment, and therefore stand at the forefront of riskified's work. you'll be leveraging your analytical and data analysis skills and knowledge of our product to provide meaningful insights to our enterprise merchants, including direct interaction with customers.

what you'll be doing

research and explore data, using high level analytical tools (r and sql) in a high level technical environment
share deep analysis conclusions and sophisticated technical methods in a clear manner to both technical and non-technical audiences
work with account managers, meet directly with clients and deliver analytic insights for business questions
define and execute end-to-end technical solutions for fraud-prevention problems
cooperate with various teams within riskified to enhance processes and meet customers' needs
master the online fraud prevention domain through hands-on analysis of live data

qualifications

candidates must be eligible to work in the u.s. without any visa sponsorship (including opts)
2+ years of relevant strong analytical experience with complex data
1-2+ years of hands-on work experience with sql
1-2+ years of hands-on work experience with r / python
experienced problem solver and critical thinker
great written and verbal communication skills
ability to work simultaneously on different tasks and lead multiple projects
*the position requires occasional evening and weekend shifts (schedule is flexible) as we support a global client base

life at riskified


we are a fast-growing and dynamic startup with 450+ team members between our offices in tel aviv and new york city. we value collaboration and innovative thinking. we're looking for bright, driven, and passionate people to grow with us.

some nyc benefits & perks:
fully-covered medical, dental, and vision insurance from your first day
stock options for all employees, 401(k) + matching, commuter benefits
catered lunch, team events, healthy snacks, yoga, pilates, soccer league, and more
in the news


fortune magazine: 25 best workplaces in new york

announcing riskified's $165m funding round

inc magazine: best workplaces

built in nyc: 100 best workplaces

great place to work: riskified

crain's: best places to work in new york city

techcrunch: riskified prevents fraud on your favorite ecommerce site
riskified is deeply committed to the principle of equal opportunity for all individuals. we do not discriminate based on race, color, religion, sex, sexual orientation, national origin, age, disability, veteran status, or any other status protected by law.",4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,37.0,66.0,51.5,1,1,0,0,0,Unspecified,Non-Remote
